Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
12/1/2002,21.7,34.2,1.08,10.07666667,16.7,4.02
1/1/2003,22,34.8,1.13,9.8575,16.3,4.06
2/1/2003,23.7,35.9,1.71,9.854444444,16.5,4.69
3/1/2003,24,35.8,1.67,10.08694444,19.2,5.12
4/1/2003,23,33.1,1.8,9.801944444,17.5,4.64
5/1/2003,23,33.4,1.56,10.21472222,19.1,4.78
6/1/2003,21.5,30.5,1.44,9.245833333,13.8,3.6
7/1/2003,21.2,29.2,1.58,9.284722222,13.9,3.53
8/1/2003,21.2,28.7,1.73,8.244722222,11.6,3.23
9/1/2003,21.6,29.7,1.45,8.841666667,12.1,3.28
10/1/2003,22.2,31.8,1.25,9.398888889,14.9,3.77
11/1/2003,21.8,33.6,0.98,9.727222222,16,3.87
12/1/2003,22,34,1.11,10.16888889,16.6,4.01
1/1/2004,22.2,34.3,1.14,9.892222222,16.1,3.99
2/1/2004,23.2,35.1,1.7,9.905277778,17.4,4.73
3/1/2004,24.1,34.8,1.73,10.1625,19.5,5.07
4/1/2004,23.2,33.1,1.81,9.916944444,16.1,4.42
5/1/2004,22.8,31.5,1.52,9.625,15.9,4.04
6/1/2004,21.2,30.6,1.39,9.735555556,15.1,3.77
7/1/2004,21.4,28.7,1.39,8.815555556,12.1,3.13
8/1/2004,21.1,28.4,1.68,8.018333333,11.8,3.2
9/1/2004,21.5,30,1.31,9.011944444,12.5,3.31
10/1/2004,21.2,31.6,1.16,9.359444444,15.3,3.77
11/1/2004,22.3,33,1.04,9.623055556,15.4,3.76
12/1/2004,22.4,34.1,1.04,9.977777778,15.3,3.78
1/1/2005,21.4,33.8,1.42,10.23694444,18.6,4.5
2/1/2005,24.7,35.6,1.79,9.906944444,16.7,4.68
3/1/2005,24.2,35.2,1.62,10.01916667,18.5,4.89
4/1/2005,23.8,34.1,1.85,9.890277778,16.9,4.69
5/1/2005,23.1,32.3,1.51,9.751111111,18.1,4.45
6/1/2005,21.8,30.4,1.55,8.8975,13.2,3.55
7/1/2005,21.6,29,1.62,8.655277778,11.9,3.23
8/1/2005,21,28.3,1.71,7.845,12.2,3.27
9/1/2005,21.8,29.9,1.53,8.776944444,12,3.32
10/1/2005,21.5,31.4,1.25,9.614722222,16.8,4.02
11/1/2005,22.5,33.8,1.06,10.15083333,18.1,4.25
12/1/2005,22.4,34.5,1.04,10.07722222,15.5,3.85
1/1/2006,22.6,34.6,1.11,9.386388889,13.4,3.6
2/1/2006,23.8,35.7,1.78,9.486388889,14.2,4.37
3/1/2006,23.5,35.3,1.66,9.984444444,17.4,4.78
4/1/2006,23.7,34.8,1.78,10.31611111,19.2,5.11
5/1/2006,22.4,31.9,1.34,9.616666667,16.9,4.15
6/1/2006,21.8,31.8,1.36,9.94,16.8,4.12
7/1/2006,22.2,30.1,1.46,8.454444444,11.7,3.22
8/1/2006,21.3,28.5,1.64,7.589444444,10.3,2.98
9/1/2006,21.6,29.3,1.49,8.620555556,11.3,3.14
10/1/2006,21.9,31.3,1.19,9.659166667,16.6,3.94
11/1/2006,22,33,0.98,10.39416667,19.5,4.33
12/1/2006,21.8,33.7,1.13,10.4425,18.4,4.25
1/1/2007,20.7,33.7,1.53,10.40361111,19.5,4.69
2/1/2007,22.8,36.4,1.82,9.94,17.5,5.04
3/1/2007,24,35.9,1.8,10.31083333,20.5,5.43
4/1/2007,23.5,33.6,1.84,10.33722222,20,5.09
5/1/2007,22.9,32.5,1.42,10.28972222,20.6,4.81
6/1/2007,21.4,30.6,1.7,9.5175,15.5,3.99
7/1/2007,22,29.4,1.61,8.567777778,12,3.26
8/1/2007,21.4,28.6,1.83,7.886111111,10,3.03
9/1/2007,21.6,29.7,1.51,8.724166667,12.2,3.32
10/1/2007,21.6,31.4,1.21,9.193888889,15.1,3.75
11/1/2007,21.9,32.9,1.03,9.653611111,16.4,3.91
12/1/2007,22.3,33.7,1.1,10.20805556,16.9,4.02
1/1/2008,20.7,32.8,1.43,10.23222222,18.3,4.35
2/1/2008,22.9,35.4,1.79,10.31138889,19.8,5.19
3/1/2008,23,35.8,1.83,10.14916667,19,5.24
4/1/2008,23.2,34.1,1.68,10.34861111,20.2,5.11
5/1/2008,22.6,32.4,1.31,10.14722222,18.6,4.44
6/1/2008,21.6,30.8,1.42,9.370277778,16,3.93
7/1/2008,21.8,29.1,1.48,9.431111111,13.7,3.41
8/1/2008,21.4,28.3,1.64,8.540277778,12.2,3.22
9/1/2008,21.7,29.7,1.55,9.1975,13.1,3.47
10/1/2008,22,31.4,1.21,9.673888889,16.9,4.01
11/1/2008,22.1,33.9,1,10.24833333,18.5,4.27
12/1/2008,22.4,34.3,1.05,10.1575,16.1,3.92
1/1/2009,21.7,34.6,1.3,10.01777778,17.2,4.3
2/1/2009,23.8,35.6,1.8,9.835833333,16.3,4.67
3/1/2009,24,35.4,1.75,10.19777778,18.5,5.01
4/1/2009,22.7,33.2,1.72,10.09944444,18.7,4.8
5/1/2009,22.9,32.9,1.4,10.38166667,19.8,4.72
6/1/2009,21.6,31.2,1.4,9.791944444,16.4,4.01
7/1/2009,22.2,29.2,1.47,8.713888889,13.5,3.38
8/1/2009,21.5,28.2,1.47,8.4925,12.4,3.16
9/1/2009,21.8,29.8,1.34,9.028333333,13.7,3.46
10/1/2009,22.3,30.8,1.22,9.263055556,15.3,3.71
11/1/2009,22,33,1.09,10.19555556,18.4,4.23
12/1/2009,22.3,35.2,1.13,10.31583333,17.1,4.22
1/1/2010,22.1,36.1,1.23,9.984722222,16.7,4.33
2/1/2010,24.5,36.4,1.92,10.01527778,17.4,5.01
3/1/2010,24.7,35.6,1.71,10.22805556,19.5,5.14
4/1/2010,23.9,34.8,1.85,10.35583333,19.8,5.23
5/1/2010,23.6,32.8,1.5,10.04,18.2,4.51
6/1/2010,22.4,31.4,1.41,9.496388889,14.9,3.8
7/1/2010,22.1,29.5,1.63,9.2875,14.2,3.59
8/1/2010,21.6,28.8,1.52,8.695555556,12.9,3.31
9/1/2010,21.6,29.3,1.38,8.571388889,12.3,3.23
10/1/2010,22.1,30.8,1.14,9.415277778,15.7,3.73
11/1/2010,22.2,33.5,0.99,9.785277778,17,4.01
12/1/2010,21.7,34.7,1.13,10.38611111,17,4.16
1/1/2011,21.1,34.2,1.33,10.17972222,18.5,4.47
2/1/2011,23.1,35.1,1.79,9.708333333,15.4,4.51
3/1/2011,23.8,35.2,1.75,10.03444444,19.6,5.15
4/1/2011,23.2,34.3,1.83,10.55638889,21.8,5.46
5/1/2011,23,33,1.51,10.38027778,19.9,4.82
6/1/2011,22.2,31.2,1.48,9.896666667,17.3,4.17
7/1/2011,21.7,29.7,1.43,9.771111111,15,3.65
8/1/2011,21.1,28.9,1.67,8.572777778,12.7,3.38
9/1/2011,21.6,29.7,1.43,8.955833333,12.8,3.38
10/1/2011,22.1,30.9,1.24,9.371111111,16.3,3.88
11/1/2011,21.8,33.5,1,10.18638889,18.5,4.23
12/1/2011,21.2,33.8,1.15,10.39388889,18.2,4.25
1/1/2012,21.3,34.7,1.32,10.08722222,17.6,4.39
2/1/2012,23,34.9,1.81,9.570277778,15.8,4.55
3/1/2012,23.4,35.5,1.65,10.1825,19.8,5.17
4/1/2012,23.2,33.3,1.78,10.19777778,18.3,4.76
5/1/2012,22.6,31.8,1.5,10.38638889,18.9,4.51
6/1/2012,21.3,30.8,1.46,9.597222222,15.6,3.91
7/1/2012,21.4,29,1.51,9.458611111,13.1,3.35
8/1/2012,21,28.3,1.59,8.653333333,12.9,3.32
9/1/2012,21.3,29.8,1.4,8.356388889,11.8,3.25
10/1/2012,22.3,30.9,1.12,9.371111111,15.7,3.72
11/1/2012,22.8,33.3,1.03,9.800555556,17,4.02
12/1/2012,21.9,34.6,1.11,10.26416667,16.7,4.09
1/1/2013,22.3,35.2,1.36,10.08583333,17.3,4.43
2/1/2013,23.7,36.7,1.77,10.05694444,18.1,5.08
