Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
3/1/2004,24.3,33.7,1.54,10.12111111,20.13984,4.9
4/1/2004,23.2,32.3,1.8,9.849444444,16.0704,4.3
5/1/2004,22.8,30.5,1.54,9.486944444,15.75936,3.9
6/1/2004,21.4,29.6,1.45,9.590833333,14.4288,3.58
7/1/2004,21.4,27.9,1.47,8.845277778,11.2752,2.95
8/1/2004,21.2,27.7,1.63,8.3325,11.50848,3.05
9/1/2004,21.8,29.3,1.25,9.125555556,12.096,3.13
10/1/2004,21.7,30.4,1.16,9.180277778,14.61888,3.55
11/1/2004,22.6,32,1.11,9.610277778,15.1632,3.68
12/1/2004,22.3,33.3,1.2,9.948611111,15.11136,3.8
1/1/2005,21.2,32.4,1.42,10.20194444,18.73152,4.35
2/1/2005,24.7,34.4,1.7,9.882777778,16.9776,4.51
3/1/2005,24.5,34.2,1.46,9.9975,19.10304,4.75
4/1/2005,23.9,33.4,1.87,9.774722222,17.02944,4.61
5/1/2005,23,31.5,1.56,9.893333333,17.7984,4.33
6/1/2005,22,29.5,1.66,8.535555556,12.6144,3.39
7/1/2005,21.6,28.1,1.72,8.339722222,10.95552,3.02
8/1/2005,21.1,27.6,1.66,7.869166667,12.07008,3.13
9/1/2005,22.1,29.1,1.55,8.650833333,11.51712,3.15
10/1/2005,22,30.3,1.22,9.684722222,16.20864,3.8
11/1/2005,22.9,32.7,1.12,9.963055556,17.59104,4.11
12/1/2005,22.2,33.7,1.16,9.963333333,15.32736,3.84
1/1/2006,22.5,33.3,1.25,9.246666667,13.09824,3.54
2/1/2006,23.8,34.5,1.71,9.522777778,14.256,4.16
3/1/2006,23.8,34.2,1.53,9.899722222,17.81568,4.61
4/1/2006,23.8,34,1.76,10.21583333,19.20672,4.97
5/1/2006,22.3,31.1,1.28,9.491111111,16.70976,4
6/1/2006,22,30.8,1.32,9.886388889,16.17408,3.89
7/1/2006,22.2,29.3,1.62,8.226388889,10.83456,3.08
8/1/2006,21.4,27.9,1.64,7.405555556,10.0224,2.86
9/1/2006,21.9,28.5,1.52,8.233055556,10.86912,2.98
10/1/2006,22.4,30.2,1.14,9.594444444,16.17408,3.74
11/1/2006,22.4,31.9,0.95,10.29666667,19.18944,4.17
12/1/2006,21.7,32.8,1.19,10.39583333,18.56736,4.23
1/1/2007,20.7,32.2,1.52,10.43472222,19.85472,4.55
2/1/2007,23.1,34.9,1.69,9.888055556,17.94528,4.77
3/1/2007,24.3,34.7,1.66,10.09611111,20.88288,5.21
4/1/2007,23.6,32.8,1.88,10.26,20.088,5
5/1/2007,22.8,31.6,1.39,10.35833333,20.27808,4.64
6/1/2007,21.7,29.6,1.75,9.455,15.02496,3.79
7/1/2007,22,28.5,1.73,8.662222222,11.45664,3.12
8/1/2007,21.6,28,1.76,7.826388889,9.45216,2.83
9/1/2007,22,29.1,1.47,8.615,11.45664,3.11
10/1/2007,22.1,30.3,1.19,9.323055556,14.61888,3.55
11/1/2007,22.2,31.8,1.07,9.646666667,16.12224,3.78
12/1/2007,22.4,32.7,1.19,10.15972222,16.77024,3.96
1/1/2008,20.8,31.3,1.37,10.23555556,18.2304,4.14
2/1/2008,23.2,34,1.58,10.15166667,20.41632,4.94
3/1/2008,23.2,34.8,1.63,10.1075,19.31904,5
4/1/2008,23.2,33.3,1.59,10.26083333,20.01888,4.92
5/1/2008,22.5,31.6,1.26,10.11944444,18.43776,4.3
6/1/2008,21.8,29.9,1.39,9.125833333,15.44832,3.72
7/1/2008,21.9,28.3,1.49,9.427777778,12.7872,3.19
8/1/2008,21.5,27.6,1.59,8.342222222,11.68128,3.03
9/1/2008,22,29,1.53,8.939444444,12.33792,3.25
10/1/2008,22.5,30.2,1.21,9.466111111,16.07904,3.75
11/1/2008,22.4,32.8,1.02,10.10694444,18.06624,4.13
12/1/2008,22.3,33.4,1.14,10.04111111,16.00992,3.89
1/1/2009,21.6,33.2,1.34,9.979444444,17.1504,4.17
2/1/2009,23.8,34.4,1.66,9.788888889,16.18272,4.4
3/1/2009,24.1,34.4,1.58,10.06916667,18.8784,4.82
4/1/2009,22.7,32.3,1.69,10.06638889,18.59328,4.64
5/1/2009,22.9,32,1.36,10.29916667,19.47456,4.55
6/1/2009,21.9,30.3,1.38,9.571666667,15.56064,3.78
7/1/2009,22.2,28.3,1.52,8.493611111,12.45024,3.14
8/1/2009,21.7,27.5,1.42,8.43,12.07872,3
9/1/2009,22.1,29.1,1.36,8.756666667,13.03776,3.29
10/1/2009,22.7,29.6,1.26,9.056944444,14.45472,3.47
11/1/2009,22.3,31.9,1.1,10.16583333,18.03168,4.09
12/1/2009,22.2,34.4,1.27,10.27,17.07264,4.24
1/1/2010,22,34.6,1.3,9.999444444,16.48512,4.2
2/1/2010,24.7,35.1,1.81,9.9925,17.57376,4.76
3/1/2010,25,34.5,1.53,10.07805556,19.872,4.94
4/1/2010,23.8,34,1.85,10.28666667,19.75104,5.1
5/1/2010,23.5,32,1.5,9.868333333,18.10944,4.4
6/1/2010,22.6,30.4,1.41,9.0525,14.1264,3.57
7/1/2010,22,28.6,1.65,9.139722222,13.2624,3.35
8/1/2010,21.7,28.2,1.43,8.443055556,12.25152,3.11
9/1/2010,21.8,28.6,1.37,8.211666667,11.46528,3.02
10/1/2010,22.5,29.7,1.11,9.286666667,14.97312,3.5
11/1/2010,22.5,32.5,1.01,9.750833333,16.61472,3.88
12/1/2010,21.6,33.9,1.18,10.25861111,16.85664,4.1
1/1/2011,21,32.8,1.31,10.20027778,18.75744,4.33
2/1/2011,23.2,34,1.64,9.621388889,15.58656,4.27
3/1/2011,24.2,34.2,1.64,9.996111111,19.79424,4.97
4/1/2011,23.2,33.5,1.81,10.44972222,21.67776,5.32
5/1/2011,23,32.2,1.5,10.32805556,19.46592,4.64
6/1/2011,22.4,30.3,1.5,9.792777778,16.42464,3.94
7/1/2011,21.7,28.8,1.52,9.523888889,13.98816,3.44
8/1/2011,21.2,28.3,1.65,8.323888889,12.0096,3.2
9/1/2011,21.9,29,1.43,8.632777778,11.98368,3.16
10/1/2011,22.6,29.6,1.17,9.250555556,15.5088,3.59
11/1/2011,22.2,32.3,1.03,10.00194444,17.91072,4.07
12/1/2011,21.1,32.9,1.22,10.42333333,18.17856,4.21
1/1/2012,21.2,33.2,1.32,10.02444444,17.51328,4.22
